,Crm Cd Desc,Crm Cd
0,BATTERY - SIMPLE ASSAULT,624
2,SEX OFFENDER REGISTRANT OUT OF COMPLIANCE,845
3,VANDALISM - MISDEAMEANOR ($399 OR UNDER),745
4,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",740
5,"RAPE, FORCIBLE",121
6,SHOPLIFTING - PETTY THEFT ($950 & UNDER),442
7,OTHER MISCELLANEOUS CRIME,946
8,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",341
10,BURGLARY FROM VEHICLE,330
11,CRIMINAL THREATS - NO WEAPON DISPLAYED,930
13,ARSON,648
15,INTIMATE PARTNER - SIMPLE ASSAULT,626
17,THEFT PLAIN - PETTY ($950 & UNDER),440
18,THEFT OF IDENTITY,354
19,ROBBERY,210
24,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",230
30,BURGLARY,310
33,VEHICLE - STOLEN,510
45,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),420
47,BRANDISH WEAPON,761
48,INTIMATE PARTNER - AGGRAVATED ASSAULT,236
52,"BUNCO, GRAND THEFT",662
54,"THEFT, PERSON",350
60,BATTERY WITH SEXUAL CONTACT,860
63,BIKE - STOLEN,480
66,BATTERY POLICE (SIMPLE),623
70,"LETTERS, LEWD  -  TELEPHONE CALLS, LEWD",956
86,VIOLATION OF COURT ORDER,900
92,TRESPASSING,888
131,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),331
137,VIOLATION OF RESTRAINING ORDER,901
141,DISTURBING THE PEACE,886
176,THEFT FROM MOTOR VEHICLE - ATTEMPT,421
181,THROWING OBJECT AT MOVING VEHICLE,647
189,EXTORTION,940
201,"SEX,UNLAWFUL(INC MUTUAL CONSENT, PENETRATION W/ FRGN OBJ",810
216,CHILD STEALING,922
221,CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),812
245,ATTEMPTED ROBBERY,220
247,OTHER ASSAULT,625
249,BOMB SCARE,755
291,DOCUMENT FORGERY / STOLEN FELONY,649
316,SEXUAL PENETRATION W/FOREIGN OBJECT,815
329,SHOTS FIRED AT INHABITED DWELLING,251
341,"BURGLARY, ATTEMPTED",320
488,INDECENT EXPOSURE,850
527,ORAL COPULATION,820
528,"EMBEZZLEMENT, GRAND THEFT ($950.01 & OVER)",668
546,VIOLATION OF TEMPORARY RESTRAINING ORDER,902
554,"BUNCO, PETTY THEFT",664
577,KIDNAPPING - GRAND ATTEMPT,920
615,SHOPLIFTING-GRAND THEFT ($950.01 & OVER),343
656,RESISTING ARREST,437
674,DISCHARGE FIREARMS/SHOTS FIRED,753
675,THREATENING PHONE CALLS/LETTERS,928
713,KIDNAPPING,910
730,LEWD/LASCIVIOUS ACTS WITH CHILD,760
750,LEWD CONDUCT,762
793,UNAUTHORIZED COMPUTER ACCESS,661
811,PURSE SNATCHING,351
837,SODOMY/SEXUAL CONTACT B/W PENIS OF ONE PERS TO ANUS OTH,821
864,CHILD NEGLECT (SEE 300 W.I.C.),237
999,CONTEMPT OF COURT,903
1075,CHILD ANNOYING (17YRS & UNDER),813
1228,"BUNCO, ATTEMPT",666
1319,CHILD ABUSE (PHYSICAL) - SIMPLE ASSAULT,627
1342,PIMPING,805
